age_start,age_end,sex,race_ethnicity,born_in_us,state,household_emigration_rate
0,15,Female,AIAN,0,1,0.001371826397250768
0,15,Female,AIAN,0,2,0.001371826397250768
0,15,Female,AIAN,0,4,0.0037638790674813043
0,15,Female,AIAN,0,5,0.001371826397250768
0,15,Female,AIAN,0,6,0.032062961560383095
0,15,Female,AIAN,0,8,0.001371826397250768
0,15,Female,AIAN,0,9,0.001371826397250768
0,15,Female,AIAN,0,10,0.001371826397250768
0,15,Female,AIAN,0,11,0.001371826397250768
0,15,Female,AIAN,0,12,0.007734486341320484
0,15,Female,AIAN,0,13,0.4720983139192665
0,15,Female,AIAN,0,15,0.001371826397250768
0,15,Female,AIAN,0,16,0.001371826397250768
0,15,Female,AIAN,0,17,0.009116727877948627
0,15,Female,AIAN,0,18,0.001371826397250768
0,15,Female,AIAN,0,19,0.001371826397250768
0,15,Female,AIAN,0,20,0.001371826397250768
0,15,Female,AIAN,0,21,0.001371826397250768
0,15,Female,AIAN,0,22,0.001371826397250768
0,15,Female,AIAN,0,23,0.001371826397250768
0,15,Female,AIAN,0,24,0.012301516371433532
0,15,Female,AIAN,0,25,0.001371826397250768
0,15,Female,AIAN,0,26,0.0031635793756980024
0,15,Female,AIAN,0,27,0.011589452549534186
0,15,Female,AIAN,0,28,0.001371826397250768
0,15,Female,AIAN,0,29,0.001371826397250768
0,15,Female,AIAN,0,30,0.00045063673921419065
0,15,Female,AIAN,0,31,0.001371826397250768
0,15,Female,AIAN,0,32,0.001371826397250768
0,15,Female,AIAN,0,33,0.001371826397250768
0,15,Female,AIAN,0,34,0.00374133292789456
0,15,Female,AIAN,0,35,0.001371826397250768
0,15,Female,AIAN,0,36,0.008919140999985482
0,15,Female,AIAN,0,37,0.001371826397250768
0,15,Female,AIAN,0,38,0.002592894468709343
0,15,Female,AIAN,0,39,0.001371826397250768
0,15,Female,AIAN,0,40,0.001371826397250768
0,15,Female,AIAN,0,41,0.001371826397250768
0,15,Female,AIAN,0,42,0.02113040622227419
0,15,Female,AIAN,0,44,0.001371826397250768
0,15,Female,AIAN,0,45,0.001371826397250768
0,15,Female,AIAN,0,46,0.001371826397250768
0,15,Female,AIAN,0,47,0.001371826397250768
0,15,Female,AIAN,0,48,0.00856581208412908
0,15,Female,AIAN,0,49,0.001371826397250768
0,15,Female,AIAN,0,50,0.001371826397250768
0,15,Female,AIAN,0,51,0.014879678485207026
0,15,Female,AIAN,0,53,0.004303633381259999
0,15,Female,AIAN,0,54,0.001371826397250768
0,15,Female,AIAN,0,55,0.001371826397250768
0,15,Female,AIAN,0,56,0.001371826397250768
0,15,Female,AIAN,1,1,0.0005918830791360127
0,15,Female,AIAN,1,2,3.344599178543296e-06
0,15,Female,AIAN,1,4,3.137870913992893e-05
0,15,Female,AIAN,1,5,9.178733149758163e-05
0,15,Female,AIAN,1,6,0.00035182076954686024
0,15,Female,AIAN,1,8,0.00029069290829091953
0,15,Female,AIAN,1,9,0.0003187848553915249
0,15,Female,AIAN,1,10,0.0008179755277814415
0,15,Female,AIAN,1,11,0.01198231534782348
0,15,Female,AIAN,1,12,0.0009592288824954015
0,15,Female,AIAN,1,13,0.0007980690647805277
0,15,Female,AIAN,1,15,0.0008474901086807717
0,15,Female,AIAN,1,16,4.998791877874535e-05
0,15,Female,AIAN,1,17,0.0010587702652105986
0,15,Female,AIAN,1,18,0.0005987380147005112
0,15,Female,AIAN,1,19,0.0016966308045608788
0,15,Female,AIAN,1,20,0.00015052383619848248
0,15,Female,AIAN,1,21,0.0006587396415759886
0,15,Female,AIAN,1,22,0.00046688720835285605
0,15,Female,AIAN,1,23,6.846890805694621e-05
0,15,Female,AIAN,1,24,0.00105547013455207
0,15,Female,AIAN,1,25,0.001258112525317446
0,15,Female,AIAN,1,26,0.00018587453681089358
0,15,Female,AIAN,1,27,4.291928122743426e-05
0,15,Female,AIAN,1,28,6.543558664399732e-05
0,15,Female,AIAN,1,29,0.00017921635173759502
0,15,Female,AIAN,1,30,5.080625822688824e-06
0,15,Female,AIAN,1,31,6.524698495314291e-05
0,15,Female,AIAN,1,32,0.0005992991922969967
0,15,Female,AIAN,1,33,0.0010714439953344393
0,15,Female,AIAN,1,34,0.0007775855822192686
0,15,Female,AIAN,1,35,6.367455858771331e-06
0,15,Female,AIAN,1,36,0.0015472488757804657
0,15,Female,AIAN,1,37,0.00048571131320151794
0,15,Female,AIAN,1,38,9.659008217622055e-06
0,15,Female,AIAN,1,39,0.0028982625485517903
0,15,Female,AIAN,1,40,7.77919883770746e-06
0,15,Female,AIAN,1,41,7.79231996606865e-05
