draw,location,age_group_start,age_group_end,sex,year_start,year_end,cause,measure,unit,parameter,value
0,China,0,1,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.0
0,China,1,2,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.0023731636491986304
0,China,2,3,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.0038613059002639808
0,China,3,4,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.00481228259906399
0,China,4,5,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.0054359180461957595
0,China,5,6,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.005859459003307116
0,China,6,7,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.006160424377400103
0,China,7,8,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.006386256800348784
0,China,8,9,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.006566129292021873
0,China,9,10,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.006718069167174622
0,China,10,11,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.006853274903760012
0,China,11,12,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.006978743248208173
0,China,12,13,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.00709887483887682
0,China,13,14,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.007216459732682217
0,China,14,15,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.007333284917069101
0,China,15,16,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.007450510416407698
0,China,16,17,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.18094084098546545
0,China,17,18,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.24482003300428024
0,China,18,19,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.25373400298681514
0,China,19,20,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.2316069792636101
0,China,20,21,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.18867708305976966
0,China,21,22,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1720091927795489
0,China,22,23,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.16147467124228554
0,China,23,24,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1547785227219204
0,China,24,25,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.15049700559712392
0,China,25,26,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1477423545299014
0,China,26,27,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14595817841036482
0,China,27,28,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14479398792709938
0,China,28,29,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14402787140395712
0,China,29,30,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14351860907388203
0,China,30,31,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14317587309357924
0,China,31,32,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14294159207886029
0,China,32,33,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14277824065458197
0,China,33,34,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1426614449165958
0,China,34,35,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1425752905450537
0,China,35,36,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14250933138041635
0,China,36,37,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14245667297285175
0,China,37,38,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14241273890325232
0,China,38,39,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14237447281036728
0,China,39,40,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14233981976568894
0,China,40,41,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1423073875861135
0,China,41,42,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14227622459045322
0,China,42,43,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1422456730597956
0,China,43,44,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1422152721419743
0,China,44,45,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14218469319682284
0,China,45,46,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14215369652242332
0,China,46,47,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14212210223590413
0,China,47,48,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14208977056563593
0,China,48,49,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1420565884274875
0,China,49,50,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14202246021376308
0,China,50,51,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14198730141653562
0,China,51,52,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14195103416396276
0,China,52,53,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14191358405061305
0,China,53,54,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1418748778438678
0,China,54,55,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1418348417826378
0,China,55,56,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1417934002745199
0,China,56,57,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14175047485794645
0,China,57,58,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14170598333662185
0,China,58,59,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14165983902106533
0,China,59,60,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14161195003068622
0,China,60,61,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1415622186223708
0,China,61,62,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14151054051997994
0,China,62,63,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14145680422472473
0,China,63,64,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14140089028997355
0,China,64,65,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14134267054622465
0,China,65,66,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1412820072631432
0,China,66,67,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14121875223597286
0,China,67,68,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14115274578345394
0,China,68,69,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14108381564372022
0,China,69,70,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14101177575356968
0,China,70,71,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14093642489503475
0,China,71,72,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14085754519132226
0,China,72,73,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14077490043193625
0,China,73,74,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1406882342041005
0,China,74,75,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1405972678044186
0,China,75,76,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14050169790097233
0,China,76,77,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1404011939116875
0,China,77,78,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14029539505968106
0,China,78,79,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14018390706032047
0,China,79,80,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.14006629838772347
0,China,80,81,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13994209606021593
0,China,81,82,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13981078087463575
0,China,82,83,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1396717820080424
0,China,83,84,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13952447089205905
0,China,84,85,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1393681542493407
0,China,85,86,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1392020661630651
0,China,86,87,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13902535902832308
0,China,87,88,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13883709320815021
0,China,88,89,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13863622518586957
0,China,89,90,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1384215939683899
0,China,90,91,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13819190545089552
0,China,91,92,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13794571440046238
0,China,92,93,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1376814036526995
0,China,93,94,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13739716003926983
0,China,94,95,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13709094647230816
0,China,95,96,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13676046950088014
0,China,96,97,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1364031415204584
0,China,97,98,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.13601603665366158
0,China,98,99,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.1355958391226537
0,China,99,100,female,2020,2021,hrHPV,prevalence,per person-year,continuous,0.135138782692478
