Age Category Start,Sex,Mediation Factor
70,Male,0.440576124
75,Male,0.426010312
65,Male,0.447861417
55,Male,0.425360355
30,Male,0.33408134
45,Male,0.412795211
35,Male,0.369106742
25,Male,0.34553665
40,Male,0.406543443
50,Male,0.411601652
60,Male,0.434413571
80,Male,0.390586295
85,Male,0.390586295
90,Male,0.390586295
45,Female,0.412795211
60,Female,0.434413571
35,Female,0.369106742
40,Female,0.406543443
75,Female,0.426010312
70,Female,0.440576124
30,Female,0.33408134
25,Female,0.34553665
50,Female,0.411601652
55,Female,0.425360355
65,Female,0.447861417
80,Female,0.390586295
85,Female,0.390586295
90,Female,0.390586295
