age_group_start,age_group_end,logit_ifr,ifr
0,4,-7.735654936,0.000436775
5,9,-7.731921729,0.000438408
10,14,-7.726239914,0.000440905
15,19,-7.691065417,0.000456682
20,24,-7.598854166,0.000500774
25,29,-7.423266257,0.000596839
30,34,-7.156325345,0.000779307
35,39,-6.81293428,0.001098255
40,44,-6.410705287,0.001641167
45,49,-5.967250592,0.00255473
50,54,-5.499901509,0.004070537
55,59,-5.021705447,0.006550086
60,64,-4.540372492,0.010556797
65,69,-4.062980675,0.016906922
70,74,-3.596608031,0.026684951
75,79,-3.148542912,0.04114873
80,84,-2.729281044,0.0612675
85,89,-2.353314227,0.0868027
90,94,-2.035607477,0.115514764
95,99,-1.791125813,0.142934751
