age_start,age_end,sex,race_ethnicity,born_in_us,state,gq_person_emigration_rate
0,15,Female,AIAN,0,1,0.0
0,15,Female,AIAN,0,2,0.0
0,15,Female,AIAN,0,4,0.0
0,15,Female,AIAN,0,5,0.0
0,15,Female,AIAN,0,6,0.0
0,15,Female,AIAN,0,8,0.0
0,15,Female,AIAN,0,9,0.0
0,15,Female,AIAN,0,10,0.0
0,15,Female,AIAN,0,11,0.0
0,15,Female,AIAN,0,12,0.0
0,15,Female,AIAN,0,13,0.0
0,15,Female,AIAN,0,15,0.0
0,15,Female,AIAN,0,16,0.0
0,15,Female,AIAN,0,17,0.0
0,15,Female,AIAN,0,18,0.0
0,15,Female,AIAN,0,19,0.0
0,15,Female,AIAN,0,20,0.0
0,15,Female,AIAN,0,21,0.0
0,15,Female,AIAN,0,22,0.0
0,15,Female,AIAN,0,23,0.0
0,15,Female,AIAN,0,24,0.0
0,15,Female,AIAN,0,25,0.0
0,15,Female,AIAN,0,26,0.0
0,15,Female,AIAN,0,27,0.0
0,15,Female,AIAN,0,28,0.0
0,15,Female,AIAN,0,29,0.0
0,15,Female,AIAN,0,30,0.0
0,15,Female,AIAN,0,31,0.00226041837376861
0,15,Female,AIAN,0,32,0.0
0,15,Female,AIAN,0,33,0.0
0,15,Female,AIAN,0,34,0.0
0,15,Female,AIAN,0,35,0.0
0,15,Female,AIAN,0,36,0.0
0,15,Female,AIAN,0,37,0.0
0,15,Female,AIAN,0,38,0.0
0,15,Female,AIAN,0,39,0.0
0,15,Female,AIAN,0,40,0.0
0,15,Female,AIAN,0,41,0.0
0,15,Female,AIAN,0,42,0.0
0,15,Female,AIAN,0,44,0.0
0,15,Female,AIAN,0,45,0.0
0,15,Female,AIAN,0,46,0.00226041837376861
0,15,Female,AIAN,0,47,0.0
0,15,Female,AIAN,0,48,0.0
0,15,Female,AIAN,0,49,0.0
0,15,Female,AIAN,0,50,0.0
0,15,Female,AIAN,0,51,0.0
0,15,Female,AIAN,0,53,0.0
0,15,Female,AIAN,0,54,0.0
0,15,Female,AIAN,0,55,0.0
0,15,Female,AIAN,0,56,0.00226041837376861
0,15,Female,AIAN,1,1,0.0
0,15,Female,AIAN,1,2,0.0
0,15,Female,AIAN,1,4,0.0
0,15,Female,AIAN,1,5,0.0
0,15,Female,AIAN,1,6,0.0
0,15,Female,AIAN,1,8,0.0
0,15,Female,AIAN,1,9,0.0
0,15,Female,AIAN,1,10,0.0
0,15,Female,AIAN,1,11,0.0
0,15,Female,AIAN,1,12,0.0
0,15,Female,AIAN,1,13,0.0
0,15,Female,AIAN,1,15,0.0
0,15,Female,AIAN,1,16,0.0
0,15,Female,AIAN,1,17,0.0
0,15,Female,AIAN,1,18,0.0
0,15,Female,AIAN,1,19,0.0
0,15,Female,AIAN,1,20,0.0
0,15,Female,AIAN,1,21,0.0
0,15,Female,AIAN,1,22,0.0
0,15,Female,AIAN,1,23,0.0
0,15,Female,AIAN,1,24,0.0
0,15,Female,AIAN,1,25,0.0
0,15,Female,AIAN,1,26,0.0
0,15,Female,AIAN,1,27,0.0
0,15,Female,AIAN,1,28,0.0
0,15,Female,AIAN,1,29,0.0
0,15,Female,AIAN,1,30,0.0
0,15,Female,AIAN,1,31,0.0
0,15,Female,AIAN,1,32,0.0
0,15,Female,AIAN,1,33,0.0
0,15,Female,AIAN,1,34,0.0
0,15,Female,AIAN,1,35,0.0
0,15,Female,AIAN,1,36,0.0
0,15,Female,AIAN,1,37,0.0
0,15,Female,AIAN,1,38,0.0
0,15,Female,AIAN,1,39,0.0
0,15,Female,AIAN,1,40,0.0
0,15,Female,AIAN,1,41,0.0
0,15,Female,AIAN,1,42,0.0
0,15,Female,AIAN,1,44,0.0
0,15,Female,AIAN,1,45,0.0
0,15,Female,AIAN,1,46,0.0
0,15,Female,AIAN,1,47,0.0
0,15,Female,AIAN,1,48,0.0
0,15,Female,AIAN,1,49,0.0
0,15,Female,AIAN,1,50,0.0
0,15,Female,AIAN,1,51,0.0
0,15,Female,AIAN,1,53,0.0
0,15,Female,AIAN,1,54,0.0
0,15,Female,AIAN,1,55,0.0
0,15,Female,AIAN,1,56,0.0
0,15,Female,Asian,0,1,0.0017201486710239937
0,15,Female,Asian,0,2,0.004016914154442448
0,15,Female,Asian,0,4,0.0035302859057111625
0,15,Female,Asian,0,5,0.002477245756129234
0,15,Female,Asian,0,6,0.0038418080964064396
0,15,Female,Asian,0,8,0.004062495512081751
0,15,Female,Asian,0,9,0.0021961372631741577
0,15,Female,Asian,0,10,0.0007268233821228141
0,15,Female,Asian,0,11,0.014776121303856284
0,15,Female,Asian,0,12,0.0028813002163477937
0,15,Female,Asian,0,13,0.0021454538699449497
0,15,Female,Asian,0,15,0.0017608473031189911
0,15,Female,Asian,0,16,0.0025616885632910084
0,15,Female,Asian,0,17,0.015322332977575247
0,15,Female,Asian,0,18,0.008150801189381909
0,15,Female,Asian,0,19,0.0024471630645040193
0,15,Female,Asian,0,20,0.002160585413501891
0,15,Female,Asian,0,21,0.0022218442934673734
0,15,Female,Asian,0,22,0.0031301236755544855
0,15,Female,Asian,0,23,0.0033154085351324272
0,15,Female,Asian,0,24,0.0012110147106658873
0,15,Female,Asian,0,25,0.012500609895039452
0,15,Female,Asian,0,26,0.005722390492117467
0,15,Female,Asian,0,27,0.013810985999976872
0,15,Female,Asian,0,28,0.004868565779768188
0,15,Female,Asian,0,29,0.0019889337150793976
0,15,Female,Asian,0,30,0.0069469344679677246
0,15,Female,Asian,0,31,0.0018968855148703801
0,15,Female,Asian,0,32,0.0006670344524612612
0,15,Female,Asian,0,33,0.003703144310193265
0,15,Female,Asian,0,34,0.0007951803101970638
0,15,Female,Asian,0,35,0.007742666611613029
0,15,Female,Asian,0,36,0.005264395322575403
0,15,Female,Asian,0,37,0.0042361231959891065
0,15,Female,Asian,0,38,0.004442062486653432
0,15,Female,Asian,0,39,0.0021467352539801554
0,15,Female,Asian,0,40,0.0027646928920240193
0,15,Female,Asian,0,41,0.011838249985332732
0,15,Female,Asian,0,42,0.00242487196841391
0,15,Female,Asian,0,44,0.003826856736308024
0,15,Female,Asian,0,45,0.0018381772141254726
0,15,Female,Asian,0,46,0.0018732807030910916
0,15,Female,Asian,0,47,0.0023732117347699607
