"","age_start","age_end","sbp_ldl","sbp_ldl_pval","sbp_bmi","sbp_bmi_pval","ldl_bmi","ldl_bmi_pval","sbp_fpg","sbp_fpg_pval","ldl_fpg","ldl_fpg_pval","bmi_fpg","bmi_fpg_pval"
"1",25,30,0.124352703013694,1.75450622123494e-104,0.25436794939087,1.15007935564904e-69,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"2",30,35,0.124352703013694,1.75450622123494e-104,0.291779118677212,2.44987739778286e-92,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"3",35,40,0.124352703013694,1.75450622123494e-104,0.312886053517888,3.07265203997725e-102,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"4",40,45,0.124352703013694,1.75450622123494e-104,0.281782472381592,1.22671171948234e-82,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"5",45,50,0.124352703013694,1.75450622123494e-104,0.215523619452276,2.55239170645627e-42,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"6",50,55,0.124352703013694,1.75450622123494e-104,0.157362964328942,2.71315152117328e-23,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"7",55,60,0.124352703013694,1.75450622123494e-104,0.126154625793012,5.10586858878259e-13,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"8",60,65,0.124352703013694,1.75450622123494e-104,0.0460176760394887,0.0022173652800868,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"9",65,70,0.124352703013694,1.75450622123494e-104,0.0440232003352474,0.00928369361372748,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"10",70,75,0.124352703013694,1.75450622123494e-104,0,0.22963628261764,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"11",75,80,0.124352703013694,1.75450622123494e-104,0,0.11908159637828,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"12",80,85,0.124352703013694,1.75450622123494e-104,0,0.253771455256851,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
"13",85,90,0.124352703013694,1.75450622123494e-104,0.00532289393150592,0.940520119561262,0.111831849178635,3.38422365877484e-86,0.338095544428334,0,0,"N/A",0.294274627434706,0
